test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,5,246.0,900.0,845.0,0.3,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
25,7355,35,side_impactor,subject_vehicle,side_unknown,X,Y,6,87.0,1500.0,1445.0,0.5,3000.0,-55.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,1,9.0,-1575.0,-1368.0,-0.5,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,2,129.0,-945.0,-738.0,-0.3,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,3,248.0,-315.0,-108.0,-0.1,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,4,181.0,315.0,522.0,0.1,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,5,54.0,945.0,1152.0,0.3,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
26,7356,37,side_impactor,subject_vehicle,side_unknown,X,Y,6,10.0,1575.0,1782.0,0.5,3150.0,207.0,A_ProfileValid,raw_json_with_canonical_fallback
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,1,271.0,-907.0,-907.0,-0.5,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
28,7357,39,frontal_barrier,subject_vehicle,front,Y,X,2,494.0,-544.2,-544.2,-0.30000000000000004,1814.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
