test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_dpd_negative,flag_negative_dpd_present,flag_cmean_negative,flag_not_target_family,exclusion_reason
3708,14496,4447,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3719,14499,4459,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3721,14501,4462,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3725,14508,4468,1,side_impactor,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3714,14509,4454,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3513,14600,4198,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3523,14601,4211,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3539,14602,4232,1,research_other,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3539,14602,4233,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3553,14603,4252,1,research_other,impactor_vehicle,X_Exclude,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3553,14603,4253,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3612,14604,4331,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,audit_only_family
3166,14605,3769,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3166,14605,3770,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3168,14606,3772,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3168,14606,3773,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3173,14607,3778,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3173,14607,3779,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3176,14608,3783,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3176,14608,3784,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3178,14609,3786,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3181,14610,3790,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3181,14610,3791,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3185,14611,3796,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3198,14612,3812,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3195,14613,3807,1,research_other,impactor_vehicle,X_Exclude,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3195,14613,3808,2,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,audit_only_family
3567,14614,4272,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
3570,14615,4276,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,audit_only_family
