test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
588,7945,704,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
612,7954,731,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
612,7954,731,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
611,7967,729,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
611,7967,729,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
616,7968,736,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
616,7968,736,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
619,7970,741,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
619,7970,741,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
636,7980,761,side,subject_vehicle,B_ProfilePartial,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,10LPAN3,0.0,348.0,320.0,flag_pdof_family_mismatch
637,7981,762,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
637,7981,762,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
634,7984,758,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
634,7984,758,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
640,7985,766,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
642,7986,769,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
642,7986,769,side_impactor,impactor_vehicle,X_Exclude,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,,,,,not_subject_vehicle
646,7990,774,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
646,7990,774,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
630,7993,753,frontal_barrier,subject_vehicle,A_ProfileValid,flag_crhdst_lt_dpdmax,flag_crhdst_lt_dpdmax,1,,11FDEW3,0.0,312.0,609.0,flag_crhdst_lt_dpdmax
651,7994,780,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
651,7994,781,side_impactor,subject_vehicle,C_MaxOnly,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,09LPEW2,270.0,188.0,,flag_side_imppnt_mismatch
650,7995,779,frontal_barrier,subject_vehicle,B_ProfilePartial,flag_damdst_out_of_range,flag_damdst_out_of_range,1,,12FDEW3,0.0,403.0,340.0,flag_damdst_out_of_range
658,7998,788,side_impactor,impactor_vehicle,X_Exclude,flag_lencnt_out_of_range,flag_lencnt_out_of_range,1,,,,,,not_subject_vehicle
658,7998,788,side_impactor,impactor_vehicle,X_Exclude,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,,,,,not_subject_vehicle
659,7999,790,side,subject_vehicle,B_ProfilePartial,flag_pdof_family_mismatch,flag_pdof_family_mismatch,1,,10LPAN3,0.0,362.0,341.0,flag_pdof_family_mismatch
659,7999,790,side,subject_vehicle,B_ProfilePartial,flag_side_imppnt_mismatch,flag_side_imppnt_mismatch,1,,10LPAN3,0.0,362.0,341.0,flag_side_imppnt_mismatch
