test_no,model_year,make,model,body_style,crash_type,crash_type_rule,test_config_code,test_config_label,impact_speed_value,impact_speed_unit,load_cell_barrier_family,load_cell_barrier_classification_id,load_cell_barrier_config_version,test_weight_kg,curb_weight_kg,length_mm,width_mm,wheelbase_mm,vax_crush_distance_mm
7730,2012,MITSUBISHI,LANCER,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1426.0,1344.0,4572.0,1742.0,2634.0,383.0
7735,2012,TOYOTA,SCION IQ,THREE DOOR HATCHBACK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.72,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1032.0,974.0,3011.0,1670.0,2000.0,295.0
7736,2012,MITSUBISHI,OUTLANDER SPORT,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1492.0,1411.0,4295.0,1764.0,2667.0,360.0
7742,2012,BUICK,REGAL EASSIST,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1762.0,1647.0,4846.0,1819.0,2735.0,368.0
7746,2012,RAM,2500,4 DOOR PICKUP,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.54,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2892.0,2714.0,6042.0,2005.0,3803.0,686.0
7748,2012,TOYOTA,COROLLA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1323.0,1253.0,4520.0,1760.0,2600.0,347.0
7754,2012,KIA,RIO,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.3,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1291.0,1166.0,4364.0,1709.0,2570.0,345.0
7756,2012,TOYOTA,4RUNNER,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.64,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2145.0,2058.0,4786.0,1835.0,2793.0,500.0
7854,2013,CHEVROLET,MALIBU ECO EASSIST,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.2,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1741.0,1626.0,4890.0,1820.0,2740.0,368.0
7859,2012,BMW,328 I,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.91,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1632.0,1520.0,4553.0,1807.0,2813.0,427.0
7870,2012,MITSUBISHI,IMiEV,FIVE DOOR HATCHBACK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.2,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1246.0,1171.0,3649.0,1585.0,2552.0,316.0
7875,2013,LEXUS,RX 350,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.63,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2008.0,1913.0,4696.0,1882.0,2741.0,499.0
7878,2012,TOYOTA,PRIUS PLUG-IN,FIVE DOOR HATCHBACK,OPTIONAL NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.12,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1519.0,1442.0,4440.0,1746.0,2700.0,356.0
7932,2013,MAZDA,CX-5,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.25,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1547.0,1457.0,4545.0,1840.0,2698.0,381.0
7935,2013,FORD,ESCAPE,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.54,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1667.0,1589.0,4493.0,1797.0,2691.0,446.0
7943,2012,CHEVROLET,SILVERADO2500,4 DOOR PICKUP,OPTIONAL NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.11,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,3087.0,2906.0,6101.0,2004.0,3910.0,447.0
7946,2012,CODA,CODA,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.86,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1748.0,1673.0,4354.0,1703.0,2618.0,312.0
7952,2013,INFINITI,M37,FOUR DOOR SEDAN,OPTIONAL NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.67,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1848.0,1756.0,4937.0,1842.0,2895.0,490.0
